Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
medium,two,very high,two,medium,small,0
high,four,high,two,medium,small,0
medium,two,low,two,high,medium,0
medium,four,very high,four,high,medium,1
high,four,medium,two,low,small,0
very high,five or more,low,two,high,small,0
very high,four,low,two,low,small,0
medium,five or more,low,four,low,small,0
high,three,medium,four,high,small,1
very high,two,low,four,medium,small,0
very high,two,high,two,low,big,0
medium,three,high,more than four,medium,big,1
low,five or more,very high,four,low,small,0
very high,four,medium,four,medium,big,1
very high,four,low,two,high,small,0
medium,five or more,high,four,high,medium,1
low,two,high,four,high,small,1
very high,three,high,more than four,high,medium,0
low,five or more,low,more than four,low,small,0
medium,two,medium,more than four,medium,big,1
medium,four,high,more than four,low,big,0
high,three,high,more than four,low,big,0
high,five or more,low,four,high,small,1
medium,two,very high,two,low,medium,0
very high,five or more,medium,two,low,small,0
very high,four,high,four,high,medium,0
low,five or more,low,more than four,medium,medium,2
low,three,medium,four,medium,medium,1
very high,three,low,two,high,medium,0
low,three,very high,four,low,small,0
medium,two,very high,four,high,medium,1
very high,four,low,two,high,medium,0
medium,four,high,more than four,medium,small,0
low,five or more,low,two,medium,small,0
low,two,medium,more than four,high,small,0
low,three,low,more than four,high,big,3
high,four,medium,more than four,medium,big,1
very high,four,medium,more than four,low,medium,0
very high,four,high,four,low,small,0
medium,four,very high,more than four,high,small,1
very high,five or more,low,more than four,medium,small,0
low,two,very high,more than four,high,small,0
high,five or more,very high,four,high,big,0
high,four,very high,four,high,small,0
very high,five or more,high,more than four,high,big,0
medium,two,low,four,medium,small,1
low,two,medium,more than four,high,big,3
very high,five or more,medium,more than four,low,medium,0
very high,two,low,two,medium,small,0
very high,two,very high,four,low,medium,0
low,two,low,more than four,medium,small,0
very high,four,medium,two,medium,small,0
high,five or more,medium,two,high,small,0
very high,three,medium,four,low,small,0
low,five or more,very high,four,low,big,0
very high,two,low,more than four,low,medium,0
medium,three,medium,four,high,small,1
high,two,very high,four,low,medium,0
high,five or more,very high,more than four,low,big,0
low,two,low,more than four,low,big,0
medium,three,very high,more than four,high,big,1
very high,two,medium,two,low,medium,0
very high,five or more,low,more than four,high,medium,1
high,two,low,more than four,high,medium,1
low,two,medium,more than four,medium,small,0
medium,four,medium,four,medium,small,1
very high,five or more,high,more than four,medium,medium,0
medium,four,medium,four,high,medium,3
low,four,very high,more than four,medium,big,1
very high,three,low,more than four,high,medium,1
very high,five or more,very high,more than four,medium,medium,0
medium,four,very high,more than four,low,small,0
high,four,medium,four,low,medium,0
very high,five or more,medium,more than four,medium,small,0
very high,four,high,four,high,small,0
very high,three,low,four,medium,medium,0
high,two,low,two,high,big,0
low,three,high,four,low,medium,0
very high,three,very high,four,low,medium,0
low,four,very high,four,low,medium,0
low,five or more,very high,four,medium,medium,1
medium,two,low,more than four,low,small,0
high,three,low,more than four,low,small,0
low,two,high,two,high,medium,0
very high,five or more,low,four,medium,small,0
high,five or more,low,two,low,big,0
low,five or more,very high,more than four,medium,medium,1
medium,two,medium,four,medium,big,1
medium,five or more,low,four,high,big,3
medium,two,medium,more than four,high,small,0
medium,four,high,more than four,high,big,1
very high,three,medium,four,low,big,0
medium,five or more,low,two,medium,medium,0
medium,two,high,more than four,low,small,0
high,five or more,very high,more than four,low,medium,0
low,four,high,four,medium,small,1
high,four,medium,two,high,medium,0
high,four,low,two,medium,small,0
high,three,high,more than four,high,big,1
high,four,very high,two,low,medium,0
low,two,high,more than four,high,medium,1
low,four,low,two,high,medium,0
very high,three,very high,more than four,medium,medium,0
