Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,12,existing credits paid back duly till now,business,841,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1.0,none,yes,True
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,15,critical account/ other credits existing (not at this bank),education,1532,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,1474,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,1585,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,car (new),1393,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,2,real estate,31,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1.0,none,yes,False
no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/ no savings account,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1.0,none,yes,False
< 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee / official,1.0,none,yes,True
no checking account,60,existing credits paid back duly till now,radio/television,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
>= 200 DM,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,male : single,guarantor,1,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,2.0,none,yes,True
< 0 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1.0,none,yes,False
< 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",32,none,own,1,unskilled - resident,1.0,none,yes,False
< 0 DM,24,existing credits paid back duly till now,car (new),4817,... < 100 DM,4 <= ... < 7 years,2,male : single,co-applicant,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,21,existing credits paid back duly till now,business,1188,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2.0,none,yes,False
>= 200 DM,36,existing credits paid back duly till now,radio/television,3913,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,23,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,24,existing credits paid back duly till now,radio/television,1377,100 <= ... < 500 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown / no property,47,none,for free,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,9,existing credits paid back duly till now,radio/television,1126,100 <= ... < 500 DM,... >= 7 years,2,male : divorced/separated,none,4,real estate,49,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,18,critical account/ other credits existing (not at this bank),repairs,1190,... < 100 DM,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,55,none,for free,3,unemployed/ unskilled - non-resident,2.0,none,yes,False
no checking account,18,existing credits paid back duly till now,radio/television,4594,... < 100 DM,... < 1 year,3,male : single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,66,none,own,1,unskilled - resident,1.0,none,yes,False
no checking account,24,existing credits paid back duly till now,car (used),6313,unknown/ no savings account,... >= 7 years,3,male : single,none,4,"car or other, not in attribute 6",41,none,own,1,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",41,bank,own,1,unskilled - resident,2.0,none,yes,False
no checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,2,real estate,33,none,own,2,skilled employee / official,2.0,none,yes,True
< 0 DM,15,existing credits paid back duly till now,car (new),2511,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/ unskilled - non-resident,1.0,none,yes,True
0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,unemployed,4,male : married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,False
0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,2101,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1.0,none,yes,True
no checking account,21,delay in paying off in the past,car (used),2993,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,28,stores,own,2,unskilled - resident,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,36,existing credits paid back duly till now,others,15857,... < 100 DM,unemployed,2,male : divorced/separated,co-applicant,3,"car or other, not in attribute 6",43,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,True
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,21,existing credits paid back duly till now,car (used),2476,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,46,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,12,no credits taken/ all credits paid back duly,radio/television,6199,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
no checking account,12,existing credits paid back duly till now,radio/television,1493,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,2.0,none,yes,True
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,36,delay in paying off in the past,business,9572,... < 100 DM,... < 1 year,1,male : divorced/separated,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1.0,none,yes,False
no checking account,9,existing credits paid back duly till now,furniture/equipment,1313,... < 100 DM,... >= 7 years,1,male : single,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,12,all credits at this bank paid back duly,radio/television,2149,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1.0,none,yes,False
< 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2.0,none,yes,True
< 0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,... < 100 DM,... < 1 year,4,female : divorced/separated/married,guarantor,1,building society savings agreement/ life insurance,46,none,rent,1,skilled employee / official,1.0,none,yes,True
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",43,stores,own,4,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,True
< 0 DM,12,existing credits paid back duly till now,car (new),759,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2.0,none,no,True
0 <= ... < 200 DM,6,all credits at this bank paid back duly,education,433,... >= 1000 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,24,bank,rent,1,skilled employee / official,2.0,none,yes,False
0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1.0,none,yes,False
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,48,existing credits paid back duly till now,car (used),10297,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,39,stores,for free,3,skilled employee / official,2.0,"yes, registered under the customers name",yes,False
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1.0,none,no,True
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2.0,none,yes,True
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,... >= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1.0,none,yes,True
no checking account,28,critical account/ other credits existing (not at this bank),radio/television,2743,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",29,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1880,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,1,building society savings agreement/ life insurance,32,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,21,delay in paying off in the past,furniture/equipment,1591,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,True
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1042,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
< 0 DM,12,existing credits paid back duly till now,car (new),1893,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,12,all credits at this bank paid back duly,radio/television,626,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1.0,none,yes,False
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",51,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,36,existing credits paid back duly till now,radio/television,3595,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),education,701,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,1.0,none,yes,True
>= 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,60,all credits at this bank paid back duly,others,14782,100 <= ... < 500 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,60,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1.0,none,yes,True
no checking account,18,existing credits paid back duly till now,car (new),1820,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,6,existing credits paid back duly till now,repairs,454,... < 100 DM,... < 1 year,3,male : married/widowed,none,1,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,484,... < 100 DM,4 <= ... < 7 years,3,male : married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1.0,none,yes,True
< 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,24,existing credits paid back duly till now,car (used),2670,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,12,existing credits paid back duly till now,radio/television,707,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,30,bank,own,2,skilled employee / official,1.0,none,yes,True
no checking account,18,delay in paying off in the past,business,2169,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,... < 1 year,4,female : divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,9,critical account/ other credits existing (not at this bank),education,1244,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,41,none,rent,2,unskilled - resident,1.0,none,yes,True
< 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,... < 100 DM,... >= 7 years,3,male : single,none,3,building society savings agreement/ life insurance,60,none,own,2,skilled employee / official,1.0,none,yes,False
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,... < 100 DM,... >= 7 years,4,male : single,none,1,real estate,38,none,own,2,unskilled - resident,2.0,none,yes,True
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1.0,none,yes,False
>= 200 DM,18,existing credits paid back duly till now,furniture/equipment,3049,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1155,... < 100 DM,... >= 7 years,3,male : married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1.0,none,yes,True
no checking account,18,no credits taken/ all credits paid back duly,business,4165,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee / official,2.0,none,yes,False
< 0 DM,15,existing credits paid back duly till now,radio/television,1053,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,real estate,27,none,own,1,skilled employee / official,1.0,none,no,True
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,18,all credits at this bank paid back duly,radio/television,1940,... < 100 DM,... < 1 year,3,male : single,co-applicant,4,unknown / no property,36,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,car (used),6579,... < 100 DM,unemployed,4,male : single,none,2,unknown / no property,29,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,15,existing credits paid back duly till now,business,806,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1.0,none,yes,True
< 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,1872,... < 100 DM,unemployed,4,male : single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,48,delay in paying off in the past,education,6224,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,18,delay in paying off in the past,repairs,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,100 <= ... < 500 DM,... >= 7 years,3,male : single,none,4,real estate,36,none,own,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1.0,none,yes,True
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,60,delay in paying off in the past,business,6836,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
>= 200 DM,12,critical account/ other credits existing (not at this bank),car (new),939,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : married/widowed,none,2,real estate,28,none,own,3,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
< 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1.0,none,yes,False
< 0 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,male : divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1.0,none,yes,False
no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM,... >= 7 years,3,male : divorced/separated,none,2,"car or other, not in attribute 6",26,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,18,existing credits paid back duly till now,car (new),4380,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,4,"car or other, not in attribute 6",35,none,own,1,unskilled - resident,2.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,27,existing credits paid back duly till now,business,2528,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
< 0 DM,45,no credits taken/ all credits paid back duly,business,11816,... < 100 DM,... >= 7 years,2,male : single,none,4,"car or other, not in attribute 6",29,none,rent,2,skilled employee / official,1.0,none,yes,False
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,2028,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/ life insurance,30,none,own,2,unskilled - resident,1.0,none,yes,True
< 0 DM,24,existing credits paid back duly till now,car (new),1285,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown / no property,32,none,rent,1,skilled employee / official,1.0,none,yes,False
< 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2.0,none,yes,False
0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,75,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2.0,none,yes,True
no checking account,9,existing credits paid back duly till now,domestic appliances,1236,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,9,critical account/ other credits existing (not at this bank),radio/television,1138,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,25,none,own,2,unskilled - resident,1.0,none,yes,True
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5771,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1.0,none,yes,True
