Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
< 0 DM,21,existing credits paid back duly till now,radio/television,1835,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,48,delay in paying off in the past,education,6224,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1.0,none,yes,False
>= 200 DM,30,critical account/ other credits existing (not at this bank),radio/television,3656,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,49,stores,own,2,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1.0,none,yes,False
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),14318,... < 100 DM,... >= 7 years,4,male : single,none,2,unknown / no property,57,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,48,critical account/ other credits existing (not at this bank),furniture/equipment,5096,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,3,"car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,... >= 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,21,existing credits paid back duly till now,car (new),2923,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,"car or other, not in attribute 6",28,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,24,existing credits paid back duly till now,radio/television,5152,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute 6",25,bank,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,12,existing credits paid back duly till now,education,684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute 6",40,none,rent,1,unskilled - resident,2.0,none,yes,False
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,3590,... < 100 DM,unemployed,3,male : married/widowed,none,3,"car or other, not in attribute 6",40,none,own,3,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,... < 100 DM,... < 1 year,4,male : single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1.0,none,yes,False
< 0 DM,18,existing credits paid back duly till now,car (new),976,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,unskilled - resident,1.0,none,yes,False
no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),609,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1.0,none,no,True
no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,True
no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,car (used),2670,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,2,building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,2.0,none,yes,True
