Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,... < 100 DM,... < 1 year,2,male : single,none,3,building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1.0,none,yes,True
>= 200 DM,15,existing credits paid back duly till now,radio/television,2327,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1.0,none,yes,False
< 0 DM,48,existing credits paid back duly till now,business,4308,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1.0,none,yes,False
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2146,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee / official,1.0,none,yes,True
< 0 DM,27,no credits taken/ all credits paid back duly,business,5293,... < 100 DM,unemployed,2,male : single,none,4,building society savings agreement/ life insurance,50,stores,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,real estate,33,none,own,1,unskilled - resident,1.0,none,yes,True
no checking account,27,delay in paying off in the past,car (used),8613,... >= 1000 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,2251,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",46,none,own,1,unskilled - resident,1.0,none,yes,True
no checking account,12,existing credits paid back duly till now,radio/television,3077,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute 6",52,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,15,critical account/ other credits existing (not at this bank),car (new),5045,unknown/ no savings account,... >= 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",59,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,36,no credits taken/ all credits paid back duly,repairs,2613,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1.0,none,yes,True
>= 200 DM,21,existing credits paid back duly till now,car (new),2923,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,"car or other, not in attribute 6",28,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,48,delay in paying off in the past,radio/television,12749,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : single,none,1,"car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1082,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",48,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1 <= ... < 4 years,2,male : divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,... < 100 DM,... < 1 year,4,male : divorced/separated,none,4,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1.0,none,yes,False
>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,1424,unknown/ no savings account,... >= 7 years,3,female : divorced/separated/married,none,4,real estate,55,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",51,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,32,none,own,2,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
>= 200 DM,6,existing credits paid back duly till now,furniture/equipment,2116,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,41,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4843,... < 100 DM,... >= 7 years,3,male : single,co-applicant,4,building society savings agreement/ life insurance,43,none,rent,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
no checking account,36,existing credits paid back duly till now,car (used),4686,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,unknown / no property,32,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,27,existing credits paid back duly till now,business,3915,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,False
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1361,... < 100 DM,... < 1 year,2,male : single,none,4,real estate,40,none,own,1,unskilled - resident,2.0,none,no,True
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,1,real estate,27,none,own,1,unskilled - resident,1.0,none,yes,True
>= 200 DM,10,critical account/ other credits existing (not at this bank),radio/television,1347,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,... < 1 year,1,male : single,none,3,real estate,44,none,own,2,unskilled - resident,2.0,none,yes,True
< 0 DM,18,existing credits paid back duly till now,radio/television,3509,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1.0,none,yes,False
>= 200 DM,21,critical account/ other credits existing (not at this bank),education,2319,... < 100 DM,... < 1 year,2,male : divorced/separated,none,1,"car or other, not in attribute 6",33,none,rent,1,skilled employee / official,1.0,none,yes,False
>= 200 DM,12,existing credits paid back duly till now,radio/television,3016,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/ life insurance,31,bank,own,2,skilled employee / official,1.0,none,yes,False
>= 200 DM,6,existing credits paid back duly till now,car (new),709,... >= 1000 DM,... < 1 year,2,male : married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1.0,none,no,True
no checking account,36,existing credits paid back duly till now,furniture/equipment,10974,... < 100 DM,unemployed,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,6416,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,3,unknown / no property,59,none,rent,1,skilled employee / official,1.0,none,yes,False
no checking account,15,all credits at this bank paid back duly,radio/television,1569,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",34,bank,own,1,unskilled - resident,2.0,none,yes,True
< 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,... >= 7 years,2,male : divorced/separated,none,4,building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,all credits at this bank paid back duly,car (used),3632,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,guarantor,4,"car or other, not in attribute 6",22,bank,rent,1,skilled employee / official,1.0,none,no,True
< 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2.0,none,yes,True
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1.0,none,yes,False
no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1.0,none,no,True
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1355,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
< 0 DM,15,existing credits paid back duly till now,car (new),1721,... < 100 DM,... < 1 year,2,male : single,none,3,real estate,36,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,18,existing credits paid back duly till now,car (new),976,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,unskilled - resident,1.0,none,yes,False
< 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 <= ... < 7 years,2,male : single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1.0,none,no,True
< 0 DM,48,all credits at this bank paid back duly,business,7685,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1.0,none,yes,False
>= 200 DM,9,existing credits paid back duly till now,radio/television,745,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,28,none,own,1,unskilled - resident,1.0,none,yes,False
< 0 DM,12,all credits at this bank paid back duly,retraining,339,... < 100 DM,... >= 7 years,4,male : married/widowed,none,1,"car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1.0,none,yes,True
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1149,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,46,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,39,delay in paying off in the past,education,11760,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2323,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute 6",29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1414,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,2,real estate,33,none,own,1,skilled employee / official,1.0,none,no,True
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2.0,none,yes,True
no checking account,4,existing credits paid back duly till now,furniture/equipment,601,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled - resident,2.0,none,yes,True
no checking account,15,existing credits paid back duly till now,car (new),5324,500 <= ... < 1000 DM,... >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2483,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,2.0,none,yes,False
no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",21,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,24,existing credits paid back duly till now,radio/television,1987,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,21,none,rent,1,unskilled - resident,2.0,none,yes,False
no checking account,6,critical account/ other credits existing (not at this bank),car (new),250,... >= 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,41,bank,own,2,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",33,bank,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,2,"car or other, not in attribute 6",31,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,"car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1.0,none,yes,False
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,2,building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,2.0,none,yes,True
no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,building society savings agreement/ life insurance,50,none,rent,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,6,critical account/ other credits existing (not at this bank),education,1047,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,50,none,own,1,unskilled - resident,1.0,none,yes,True
< 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,458,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2.0,none,yes,True
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1316,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/ life insurance,47,none,own,2,unskilled - resident,1.0,none,yes,True
< 0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,24,existing credits paid back duly till now,car (new),947,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2.0,none,yes,False
>= 200 DM,6,delay in paying off in the past,radio/television,683,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1.0,none,yes,True
no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,... < 100 DM,... >= 7 years,4,male : married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1.0,none,yes,True
