Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,... < 100 DM,... < 1 year,4,male : single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1.0,none,yes,False
0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2329,... < 100 DM,... < 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2.0,none,no,True
< 0 DM,9,critical account/ other credits existing (not at this bank),radio/television,1138,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,25,none,own,2,unskilled - resident,1.0,none,yes,True
< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,... < 100 DM,... >= 7 years,4,male : married/widowed,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,30,delay in paying off in the past,radio/television,1919,100 <= ... < 500 DM,... < 1 year,4,male : single,none,3,unknown / no property,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,False
no checking account,15,all credits at this bank paid back duly,radio/television,1569,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",34,bank,own,1,unskilled - resident,2.0,none,yes,True
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1103,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,3,real estate,29,none,own,2,skilled employee / official,1.0,none,no,True
< 0 DM,12,existing credits paid back duly till now,radio/television,709,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,57,stores,own,1,unskilled - resident,1.0,none,yes,False
< 0 DM,18,existing credits paid back duly till now,radio/television,2389,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1.0,none,yes,True
no checking account,6,existing credits paid back duly till now,education,1538,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,unknown / no property,56,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,12,existing credits paid back duly till now,radio/television,1881,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,... < 100 DM,... >= 7 years,3,male : single,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,1967,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),car (new),2463,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : married/widowed,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,2331,unknown/ no savings account,... >= 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,car (used),2924,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,4,unknown / no property,63,bank,own,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
no checking account,18,existing credits paid back duly till now,car (new),1820,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,10,critical account/ other credits existing (not at this bank),radio/television,1347,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,60,delay in paying off in the past,business,6836,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,42,all credits at this bank paid back duly,car (used),9283,... < 100 DM,unemployed,1,male : single,none,2,unknown / no property,55,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1.0,none,yes,False
no checking account,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",64,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,radio/television,1938,... < 100 DM,... < 1 year,4,male : divorced/separated,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 <= ... < 500 DM,... < 1 year,4,male : single,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2.0,none,yes,False
no checking account,15,existing credits paid back duly till now,car (new),3556,unknown/ no savings account,1 <= ... < 4 years,3,male : single,none,2,unknown / no property,29,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,2251,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",46,none,own,1,unskilled - resident,1.0,none,yes,True
no checking account,36,critical account/ other credits existing (not at this bank),car (used),11054,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,18,delay in paying off in the past,repairs,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2.0,"yes, registered under the customers name",yes,True
no checking account,24,existing credits paid back duly till now,car (new),3757,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,62,none,for free,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,30,existing credits paid back duly till now,radio/television,2522,... < 100 DM,... >= 7 years,1,male : single,guarantor,3,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2.0,none,yes,True
no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",52,none,own,2,unskilled - resident,1.0,none,yes,True
< 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",32,none,own,1,unskilled - resident,1.0,none,yes,False
0 <= ... < 200 DM,6,existing credits paid back duly till now,repairs,454,... < 100 DM,... < 1 year,3,male : married/widowed,none,1,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1.0,none,yes,True
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,12,existing credits paid back duly till now,car (new),3651,... >= 1000 DM,1 <= ... < 4 years,1,male : single,none,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,2.0,none,yes,True
no checking account,27,delay in paying off in the past,car (used),8613,... >= 1000 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,42,critical account/ other credits existing (not at this bank),furniture/equipment,4042,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1414,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,2,real estate,33,none,own,1,skilled employee / official,1.0,none,no,True
0 <= ... < 200 DM,36,all credits at this bank paid back duly,domestic appliances,3990,unknown/ no savings account,... < 1 year,3,female : divorced/separated/married,none,2,unknown / no property,29,bank,own,1,unemployed/ unskilled - non-resident,1.0,none,yes,True
< 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 <= ... < 7 years,2,male : single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1.0,none,no,True
< 0 DM,24,existing credits paid back duly till now,radio/television,1823,... < 100 DM,unemployed,4,male : single,none,2,"car or other, not in attribute 6",30,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,False
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,... < 100 DM,unemployed,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",65,none,own,2,unemployed/ unskilled - non-resident,1.0,none,yes,True
no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3349,500 <= ... < 1000 DM,... < 1 year,4,male : single,none,4,unknown / no property,30,none,for free,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1113,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2.0,none,yes,True
< 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",43,stores,own,4,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,True
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year,2,male : married/widowed,none,4,"car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,... >= 7 years,4,male : divorced/separated,none,2,"car or other, not in attribute 6",46,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,True
