Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,1925,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1.0,none,yes,True
< 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,building society savings agreement/ life insurance,33,bank,rent,2,skilled employee / official,1.0,none,no,False
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),691,... < 100 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1.0,none,yes,False
no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,... >= 1000 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,1154,... < 100 DM,... >= 7 years,2,male : single,none,4,real estate,37,none,own,3,unskilled - resident,1.0,none,yes,True
no checking account,13,existing credits paid back duly till now,radio/television,1409,100 <= ... < 500 DM,unemployed,2,female : divorced/separated/married,none,4,real estate,64,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2896,100 <= ... < 500 DM,... < 1 year,2,male : single,none,1,"car or other, not in attribute 6",29,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled - resident,1.0,none,yes,True
no checking account,12,existing credits paid back duly till now,radio/television,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2.0,none,yes,False
no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM,... >= 7 years,2,male : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,522,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
< 0 DM,15,delay in paying off in the past,furniture/equipment,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,18,delay in paying off in the past,furniture/equipment,4297,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,3,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,14,delay in paying off in the past,car (new),802,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1201,... < 100 DM,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,30,all credits at this bank paid back duly,car (used),7485,unknown/ no savings account,unemployed,4,female : divorced/separated/married,none,1,real estate,53,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
< 0 DM,48,existing credits paid back duly till now,radio/television,6999,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
>= 200 DM,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,36,delay in paying off in the past,business,4455,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,65,none,own,4,skilled employee / official,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2122,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,39,none,rent,2,unskilled - resident,2.0,none,no,True
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1433,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,25,none,rent,2,skilled employee / official,1.0,none,yes,True
< 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,6,delay in paying off in the past,car (new),1209,... < 100 DM,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
< 0 DM,12,existing credits paid back duly till now,education,684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute 6",40,none,rent,1,unskilled - resident,2.0,none,yes,False
< 0 DM,6,existing credits paid back duly till now,education,448,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,20,none,rent,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,... < 100 DM,unemployed,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,63,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,2124,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee / official,1.0,none,yes,False
< 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),14027,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,unknown / no property,27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
< 0 DM,12,existing credits paid back duly till now,car (new),1228,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,24,none,own,1,unskilled - resident,1.0,none,yes,False
0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,3,female : divorced/separated/married,none,3,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),1264,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1.0,none,yes,False
< 0 DM,36,existing credits paid back duly till now,car (used),5493,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,1,skilled employee / official,2.0,none,yes,True
< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1957,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1941,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,35,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,car (new),1207,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1.0,none,yes,False
>= 200 DM,42,no credits taken/ all credits paid back duly,business,6289,... < 100 DM,... < 1 year,2,male : divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",24,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,24,critical account/ other credits existing (not at this bank),repairs,5507,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1.0,none,yes,True
< 0 DM,42,existing credits paid back duly till now,radio/television,3965,... < 100 DM,... < 1 year,4,male : single,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1.0,none,yes,False
no checking account,39,existing credits paid back duly till now,car (used),2569,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,3617,... < 100 DM,... >= 7 years,1,male : single,none,4,"car or other, not in attribute 6",28,none,rent,3,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,6,existing credits paid back duly till now,furniture/equipment,428,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,49,bank,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3060,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,32,none,own,2,unskilled - resident,2.0,none,no,True
0 <= ... < 200 DM,24,existing credits paid back duly till now,others,11328,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",29,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,10,existing credits paid back duly till now,car (new),1546,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,31,none,own,1,unskilled - resident,2.0,none,no,True
>= 200 DM,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1.0,none,yes,True
< 0 DM,13,critical account/ other credits existing (not at this bank),business,1797,... < 100 DM,... < 1 year,3,male : single,none,1,building society savings agreement/ life insurance,28,bank,own,2,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,male : single,none,2,"car or other, not in attribute 6",30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,21,existing credits paid back duly till now,car (used),5248,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,3,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,unknown/ no savings account,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",35,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,60,existing credits paid back duly till now,car (new),10366,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,42,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,38,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
< 0 DM,9,existing credits paid back duly till now,car (new),1422,... < 100 DM,... < 1 year,3,male : single,none,2,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/ no savings account,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,"car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1.0,none,yes,True
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2.0,none,yes,False
0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,male : single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,1514,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,guarantor,2,real estate,22,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,3711,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,2,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1.0,none,yes,True
